date,spy_o,spy_h,spy_l,spy_c,barometer_o,barometer_h,barometer_l,barometer_c,barometer
2016-11-04,208.910004,209.889999,208.380005,208.550003,0.03157563780093431,0.025512037369744944,0.10296891843334532,0.0298127021200143,0.04746732393100972
2016-11-07,208.550003,213.190002,208.550003,213.149994,0.048800754581386885,0.04893550125763557,0.06525107797341001,0.052281710384477154,0.053817261049227405
2016-11-08,212.690002,214.770004,212.380005,214.110001,0.05210204814947894,0.035483291412145235,0.07712001437297877,0.04965415019762842,0.05358987603305784
2016-11-09,212.369995,217.100006,212.339996,216.380005,0.11958767517067903,0.1461103126122889,0.3712720086237873,0.3705084441250449,0.25186961013295006
2016-11-10,217.300003,218.309998,215.220001,216.919998,0.44226104922745235,0.2308210564139418,0.5701581027667983,0.5020099712540425,0.43631254491555876
2016-11-11,216.080002,216.699997,215.320007,216.419998,0.5224802371541502,0.3611660079051384,0.6566879266978081,0.6561713977721884,0.5491263923823213
2016-11-14,217.029999,217.270004,215.720001,216.589996,0.5336417535034136,0.5058839381961913,0.6979091807402084,0.6827389507725476,0.6050434558030902
2016-11-15,217.039993,218.279999,216.800003,218.279999,0.7258242005030543,0.6690060186848724,0.8355192238591448,0.8131625044915558,0.7608779868846568
2016-11-16,217.559998,218.139999,217.419998,217.869995,0.8333408192597915,0.734156036651096,0.8377762306863097,0.8246159719726913,0.8074722646424721
2016-11-17,218.050003,219.059998,217.919998,218.990005,0.8616151634926339,0.783304886812792,0.8864759252605102,0.831151185770751,0.8406367903341718
2016-11-18,219.070007,219.270004,218.289993,218.5,0.8006422924901186,0.7953871721164212,0.8904846388789076,0.9019381063600431,0.8471130524613726
2016-11-21,219.169998,220.179993,219.0,220.149994,0.831151185770751,0.8093895975565936,0.9274164570607258,0.9043860043118936,0.868085811174991
2016-11-22,220.509995,220.789993,219.729996,220.580002,0.9012868307581746,0.860200323392023,0.9087203557312253,0.8966829859863457,0.8917226239669421
2016-11-23,219.979996,220.759995,219.75,220.699997,0.8995238950772548,0.857595220984549,0.9289323571685232,0.9083722601509163,0.8986059333453108
2016-11-25,221.100006,221.559998,221.009995,221.520004,0.8556975386273805,0.8440194933524974,0.9063061444484369,0.9003099173553719,0.8765832734459218
2016-11-28,221.160004,221.479996,220.360001,220.479996,0.6804145706072584,0.6773266259432267,0.7497978799856271,0.6825256018684873,0.6975161696011498
2016-11-29,220.520004,221.440002,220.169998,220.910004,0.6710384477182896,0.6037773984908372,0.7465639597556594,0.7061736435501258,0.681888362378728
2016-11-30,221.630005,221.820007,220.309998,220.380005,0.7311130075458139,0.6143437836866691,0.739399928135106,0.6450547969816744,0.6824778790873158
2016-12-01,220.729996,220.729996,219.149994,219.570007,0.6251908911246856,0.46622349982033773,0.6544758354293927,0.5864399928135107,0.5830825547969817
2016-12-02,219.669998,220.25,219.259995,219.679993,0.5777263744160978,0.5530789615522816,0.7305740208408193,0.6297273625583902,0.6227766798418972
2016-12-05,220.649994,221.399994,220.419998,221.0,0.6621900826446281,0.6673890585698886,0.826749461013295,0.826749461013295,0.7457695158102767
2016-12-06,221.220001,221.740005,220.660004,221.699997,0.8690262306863097,0.8292871900826446,0.8880255120373697,0.8620980057491915,0.8621092346388789
2016-12-07,221.520004,224.669998,221.380005,224.600006,0.8761228889687388,0.7660236255839024,0.9110447358965146,0.7679213079410708,0.8302781395975566
2016-12-08,224.570007,225.699997,224.259995,225.149994,0.8347332015810277,0.6546330398850162,0.8180246137261947,0.6715212899748473,0.7447280362917714
2016-12-09,225.410004,226.529999,225.369995,226.509995,0.7236008803449515,0.6912953647143371,0.825357078692059,0.8197763205174272,0.7650074110671937
2016-12-12,226.399994,226.960007,225.759995,226.25,0.7300125763564499,0.7053427057132591,0.7359077434423285,0.7303719008264463,0.7254087315846209
2016-12-13,227.020004,228.339996,227.0,227.759995,0.7476643909450233,0.6094143011139059,0.7499887711103126,0.7234549047790154,0.7076305919870644
2016-12-14,227.410004,228.229996,225.369995,225.880005,0.6985155407833273,0.6396761588214157,0.7538178224937118,0.6526455264103486,0.686163762127201
2016-12-15,226.160004,227.809998,225.889999,226.809998,0.6808637261947539,0.6610110492274524,0.7868419870643191,0.7703467481135465,0.724765877650018
2016-12-16,226.009995,226.080002,224.669998,225.039993,0.7662594322673374,0.7581521739130435,0.8836125583902263,0.8850386273805246,0.8232656979877829
2016-12-19,225.25,226.020004,225.080002,225.529999,0.8143415379087315,0.815486884656845,0.9267876392382322,0.9264844592166727,0.8707751302551203
2016-12-20,226.149994,226.570007,225.880005,226.399994,0.9209710743801653,0.9251145346748113,0.9375673733381243,0.9259230147323033,0.9273939992813511
2016-12-21,226.25,226.449997,225.770004,225.770004,0.9463146784045994,0.931851868487244,0.9425193136902623,0.9543882500898311,0.9437685276679841
2016-12-22,225.600006,225.740005,224.919998,225.380005,0.9535011678045274,0.9368711821775063,0.9626414840100611,0.9609346927775781,0.9534871316924183
